Unidad,2019,2018,2017,2016,2015
44001 Ababuj,.,.,.,.,.
4400101 Ababuj distrito 01,.,.,.,.,.
4400101001 Ababuj sección 01001,.,.,.,.,.
40001 Abades,11429,10731,10314,9816,9904
4000101 Abades distrito 01,11429,10731,10314,9816,9904
4000101001 Abades sección 01001,11429,10731,10314,9816,9904
10001 Abadía,8954,8589,8207,7671,8416
1000101 Abadía distrito 01,8954,8589,8207,7671,8416
1000101001 Abadía sección 01001,8954,8589,8207,7671,8416
27001 Abadín,10791,10258,9762,9478,9116
2700101 Abadín distrito 01,10791,10258,9762,9478,9116
2700101001 Abadín sección 01001,10928,10467,9985,9758,9435
2700101002 Abadín sección 01002,10397,10027,9500,9087,8568
2700101003 Abadín sección 01003,10927,10243,9756,9511,9220
48001 Abadiño,15575,14975,14724,14515,13919
4800101 Abadiño distrito 01,15575,14975,14724,14515,13919
4800101001 Abadiño sección 01001,16987,16325,16294,16437,15658
4800101002 Abadiño sección 01002,14523,14042,13756,13468,12855
4800101003 Abadiño sección 01003,13112,12496,12159,11908,11455
4800101004 Abadiño sección 01004,15547,15095,14770,14471,14060
4800101005 Abadiño sección 01005,16687,15937,15627,15348,14676
31001 Abáigar,.,.,.,.,.
3100101 Abáigar distrito 01,.,.,.,.,.
3100101001 Abáigar sección 01001,.,.,.,.,.
09001 Abajas,.,.,.,.,.
0900101 Abajas distrito 01,.,.,.,.,.
0900101001 Abajas sección 01001,.,.,.,.,.
26001 Ábalos,11910,11153,9552,10651,10775
2600101 Ábalos distrito 01,11910,11153,9552,10651,10775
2600101001 Ábalos sección 01001,11910,11153,9552,10651,10775
20001 Abaltzisketa,17166,16230,21823,14209,.
2000101 Abaltzisketa distrito 01,17166,16230,21823,14209,.
2000101001 Abaltzisketa sección 01001,17166,16230,21823,14209,.
19001 Abánades,.,.,.,.,.
1900101 Abánades distrito 01,.,.,.,.,.
1900101001 Abánades sección 01001,.,.,.,.,.
30001 Abanilla,9860,9415,9044,8444,8274
3000101 Abanilla distrito 01,10157,9720,9489,8914,8676
3000101001 Abanilla sección 01001,9543,8986,8923,8528,8145
3000101002 Abanilla sección 01002,10075,9845,9441,8820,8713
3000101003 Abanilla sección 01003,11228,10635,10410,9679,9425
3000102 Abanilla distrito 02,9526,9067,8537,7922,7818
3000102001 Abanilla sección 02001,9365,8959,8519,7869,7534
3000102002 Abanilla sección 02002,8978,8675,7952,7501,7713
3000102003 Abanilla sección 02003,10474,9711,9311,8558,8421
50001 Abanto,.,.,.,.,11184
5000101 Abanto distrito 01,.,.,.,.,11184
5000101001 Abanto sección 01001,.,.,.,.,11184
48002 Abanto y Ciérvana-Abanto Zierbena,14107,13482,12895,12680,12304
4800201 Abanto y Ciérvana-Abanto Zierbena distrito 01,13626,12947,12448,12143,11789
4800201001 Abanto y Ciérvana-Abanto Zierbena sección 01001,13892,13090,12747,12440,12060
4800201002 Abanto y Ciérvana-Abanto Zierbena sección 01002,13130,13015,12052,11843,11222
4800201004 Abanto y Ciérvana-Abanto Zierbena sección 01004,12819,11793,11605,11482,11399
4800201005 Abanto y Ciérvana-Abanto Zierbena sección 01005,14099,13316,12792,12327,12060
4800202 Abanto y Ciérvana-Abanto Zierbena distrito 02,14655,14098,13416,13314,12915
