fecha,indicativo,tmin,longitud,latitud
2021-01-06,4358X,-4.7,-5.880556,38.955556
2021-01-06,4220X,-7,-4.616389,39.088611
2021-01-06,6106X,4.7,-4.748333,37.029444
2021-01-06,9698U,-6.8,0.865278,42.205278
2021-01-06,4410X,-3.4,-6.385556,38.915833
2021-01-06,1331A,1,-7.031389,43.524722
2021-01-06,1690A,-0.1,-7.859722,42.325278
2021-01-06,8489X,-8,-0.255833,40.433333
2021-01-06,8025,2,-0.494167,38.3725
2021-01-06,9784P,-10,0.224722,42.63
2021-01-06,2331,-6.3,-3.620278,42.356944
2021-01-06,9434,-2.7,-1.004167,41.660556
2021-01-06,1109,1.6,-3.825556,43.423889
2021-01-06,6293X,9.5,-2.701667,36.686944
2021-01-06,1212E,2.1,-6.044167,43.566944
2021-01-06,9394X,-6.5,-1.645278,41.331111
2021-01-06,3094B,-2.6,-3.021389,40.011389
2021-01-06,1059X,3.7,-3.021667,43.375
2021-01-06,1207U,-1,-5.621111,43.523056
2021-01-06,6367B,4.5,-1.943611,37.390556
2021-01-06,7228,-0.5,-1.228611,37.957778
2021-01-06,7002Y,7.5,-1.586944,37.417222
2021-01-06,3191E,-3.7,-3.765,40.696111
2021-01-06,0016A,-5.1,1.163611,41.145
2021-01-06,8058X,-0.6,-0.095833,38.928889
2021-01-06,0367,-3,2.763333,41.911667
2021-01-06,7247X,-5.1,-1.038056,38.399722
2021-01-06,3200,-4.4,-3.722222,40.299444
2021-01-06,4103X,-8,-3.0075,39.169167
2021-01-06,3175,-6.1,-3.443611,40.488611
2021-01-06,3129,-6.9,-3.555556,40.466667
2021-01-06,4067,-8.4,-3.528333,39.491944
2021-01-06,1014A,-1.4,-1.792222,43.356944
2021-01-06,7031X,5.9,-0.805833,37.778333
2021-01-06,7209,1.6,-1.687222,37.654722
2021-01-06,3519X,-1.7,-6.085833,40.043056
2021-01-06,2755X,-5.2,-5.666667,42.010833
2021-01-06,8175,-9.1,-1.856389,38.954167
2021-01-06,9244X,-6,-1.213611,42.490833
2021-01-06,6277B,9.1,-3.020556,36.747222
2021-01-06,9170,-2.8,-2.331111,42.452222
2021-01-06,7031,5.5,-0.803333,37.788889
2021-01-06,5181D,0,-2.889722,38.314722
2021-01-06,B691Y,-0.9,3.016667,39.749167
2021-01-06,1159,1.4,-4.392222,43.393333
2021-01-06,3260B,-5.5,-4.045278,39.884722
2021-01-06,3194U,-6.3,-3.724167,40.451667
2021-01-06,1283U,2.1,-6.47,43.569167
2021-01-06,1083L,2.8,-3.233889,43.394722
2021-01-06,2117D,-8.4,-3.742778,41.665833
2021-01-06,5514,-0.1,-3.631389,37.137222
2021-01-06,B248,-1,2.713056,39.735
2021-01-06,5860E,5,-6.738056,37.098056
2021-01-06,2465,-5.2,-4.126389,40.945278
2021-01-06,B228,3.1,2.625278,39.555278
2021-01-06,B013X,-1.1,2.885833,39.823333
2021-01-06,4090Y,-6.5,-2.420556,39.416667
2021-01-06,0324A,-8.7,2.196111,42.191389
2021-01-06,5995B,7,-5.965,36.245556
2021-01-06,1473A,-1.3,-8.627222,42.738333
2021-01-06,1024E,0,-2.041111,43.306389
2021-01-06,9619,-10.2,1.463056,42.354722
2021-01-06,5427X,3.7,-4.353889,37.556111
2021-01-06,1082,1.6,-2.906389,43.298056
2021-01-06,B569X,7,3.478056,39.716667
2021-01-06,7145D,-0.1,-1.380556,38.232778
2021-01-06,5402,2.4,-4.846667,37.848889
2021-01-06,1387E,-2.5,-8.371944,43.306944
2021-01-06,5641X,5.8,-5.085,37.516111
